Situacao	Var_Desconto	Descricao	Codigo	Avaliacao	Preco_Original	Preco_A_Vista	Produto	Desmembrar	Desconsiderar
OFERTA	-42%	Smart Tv 40” Philco Led Ptv40g7er2cpblf Roku Tv Dolby Audio B...	Cód. 1571389671		R$ 2.799,90 cada	R$ 1.599,90cada	tv	8x de R$ 199,99 s/juros	
		Smart Tv 58” Philco 4k Ptv58g70rcbl Roku Tv Led Dolby Audio B...	Cód. 1567868037		R$ 3.149,90cada		tv	8x de R$ 393,74 s/juros	
		"Tv Lg 32"" Led Hd Smart Pro 32lq621cbsb.awz"	Cód. 1570589972		R$ 1.499,00cada		tv	8x de R$ 187,37 s/juros	
		"Samsung Smart Tv 65"" Qled 4k Q65c 2023 Modo Game Som Em Mov..."	Cód. 1571385056		R$ 4.699,00cada		tv	8x de R$ 587,37 s/juros	
		Smart Tv 55 Polegadas 55pug7406/78 Dled Uhd 4k Netflix Youtub...	Cód. 1569135058		R$ 3.499,99cada		tv	8x de R$ 437,50 s/juros	
		Smart Tv Philco 65 Polegadas 4k Uhd Ptv65g3bgtssbl	Cód. 1571604531		R$ 3.698,00cada		tv	8x de R$ 462,25 s/juros	
		"Smart Tv Tcl 50"" 4k Uhd Hdr Google Assistant Borda Fina 506p6..."	Cód. 1570652192		R$ 2.058,90cada		tv	8x de R$ 257,36 s/juros	
		"Smart Tv Led 50"" Ultra Hd 4k Lg 50ur871c0sa Thinq Ai 3 Hdmi 2..."	Cód. 1571492410		R$ 2.329,00cada		tv	8x de R$ 291,12 s/juros	
		Samsung Smart Tv Qled 4k Q60c 2023 Modo Game Tela Sem Limit...	Cód. 1571311421		R$ 3.476,69cada		tv	8x de R$ 434,59 s/juros	
		"TV LED 32"" HQ HD com Conversor Digital Externo 2 HDMI 2 USB e..."	Cód. 1570438725		R$ 769,00cada		tv	7x de R$ 109,86 s/juros	
OFERTA	-27%	Smart Tv 58” Philco 4k Ptv58g10ag11sk Android Tv Hdr Bivolt	Cód. 1570679924		R$ 3.999,90 cada	R$ 2.899,90cada	tv	8x de R$ 362,49 s/juros	
