Situacao	Var_Desconto	Descricao	Codigo	Avaliacao	Preco_Original	Preco_A_Vista	Produto	Data_Captura
Oferta	6	Cozinha Modulada 6 Pecas Mdf Evy 10 Henn	1570866345		2828.96	2829.00	Cozinhas Completas	2023-10-05
Oferta	27	Cozinha Modulada Carol 3 Pecas J Carvalho Nogueira/off White	1571195962		705.18	705.16	Cozinhas Completas	2023-10-05
Oferta	7	Cozinha Completa Madesa Reims 260001 Com Armario E Balcao  P	1567042926		1200.00	1115.99	Cozinhas Completas	2023-10-05
Oferta	28	Cozinha Modulada 5 Pecas Imperatriz Freijo/off White	1569860708		3526.24	3526.22	Cozinhas Completas	2023-10-05
Oferta	28	Cozinha Modulada Completa 230cm Com Balcao E Armario Aereo Va	1570651895		719.88	719.90	Cozinhas Completas	2023-10-05
Oferta	34	Cozinha Completa 100% Mdf Madesa Smart Modulada De Canto	1566963466		1840.00	1839.99	Cozinhas Completas	2023-10-05
Oferta	24	Cozinha Completa 11 Portas 1 Gaveta Sem Tampo Inova Fellicci	1569853618		1368.32	1368.32	Cozinhas Completas	2023-10-05
Oferta	24	Cozinha Completa 11 Portas 1 Gaveta Sem Tampo Inova Fellicci	1569853712		1368.32	1368.32	Cozinhas Completas	2023-10-05
Oferta	28	Cozinha Completa 11 Portas 1 Gaveta Com Tampo Inova Fellicci	1569853706		1359.92	1359.90	Cozinhas Completas	2023-10-05
Oferta	28	Cozinha Completa 5 Pecas 12 Portas 2 Gavetas New Premium Itat	1571269474		2219.52	2219.50	Cozinhas Completas	2023-10-05
Oferta	28	Kit Cozinha Compacta 130cm Com 6 Portas 1 Gaveta Alice Preto	1570456632		552.90	552.90	Cozinhas Completas	2023-10-05
Oferta	6	Cozinha Modulada 8 Portas 259cm 5550 Plla	1571610113		1349.92	1349.90	Cozinhas Completas	2023-10-05
Oferta	6	Cozinha Modulada 8 Portas 259cm 5550 Plla	1571610132		1349.92	1349.90	Cozinhas Completas	2023-10-05
Oferta	6	Cozinha Modulada 8 Portas 259cm 5550 Plla	1571610108		1349.92	1349.90	Cozinhas Completas	2023-10-05
Oferta	27	Cozinha Vitoria Com Vidro Reflecta 09 Portas 3 Gavetas	1571481877		1138.16	1138.15	Cozinhas Completas	2023-10-05
Oferta	27	Cozinha Vitoria Com Vidro Reflecta 09 Portas 3 Gavetas	1571481861		1138.16	1138.15	Cozinhas Completas	2023-10-05
Oferta	9	Cozinha Completa 6 Pecas Torre Quente 2 Fornos Paneleiro E Ae	1571391445		4210.40	3831.49	Cozinhas Completas	2023-10-05
Oferta	23	Cozinha Completa 6 Pecas Espaco Cooktop Paneleiro E Aereo Por	1571391450		4505.12	4505.15	Cozinhas Completas	2023-10-05
Oferta	13	Armario Cozinha Modulada 257cm 3 Pecas Marh Mobbs	1571495738		658.98	659.00	Cozinhas Completas	2023-10-05
Oferta	29	Kit Cozinha Compacta 105cm Com 6 Portas 1 Gaveta Marcia Preto	1570455088	0	485.88	485.90	Cozinhas Completas	2023-10-05
Oferta	29	Kit Cozinha Compacta 105cm Com 6 Portas 1 Gaveta Marcia Branc	1570456745	0	485.88	485.90	Cozinhas Completas	2023-10-05
Oferta	28	Kit Cozinha Compacta 130cm Com 6 Portas 1 Gaveta Alice Branco	1570455784	0	552.90	552.90	Cozinhas Completas	2023-10-05
Oferta	29	Kit Cozinha Compacta 105cm Com 6 Portas 1 Gaveta Marcia Branc	1570455223	0	485.88	485.90	Cozinhas Completas	2023-10-05
Oferta	29	Kit Cozinha Compacta 105cm Com 6 Portas 1 Gaveta Marcia Cinza	1570456030	0	485.88	485.90	Cozinhas Completas	2023-10-05
Oferta	28	Kit Cozinha Compacta 130cm Com 6 Portas E 1 Gaveta Alice Bran	1570455566	0	552.90	552.90	Cozinhas Completas	2023-10-05
